TXKEY,Amount,Class,Time
T79883,270,1,58222
T81186,45.64,1,58822
T81609,1389.56,1,59011
T82400,18.98,1,59385
T83297,319.2,1,59777
T84543,454.82,1,60353
T87354,19.04,1,61646
T88258,6.62,1,62059
T88307,180,1,62080
T88876,1,1,62330
T89190,1402.16,1,62467
T91671,290.18,1,63578
T92777,294.9,1,64093
T93424,1,1,64412
T93486,0,1,64443
T93788,0,1,64585
T94218,720.38,1,64785
T96789,101.5,1,65936
T96994,7.53,1,66037
T99506,489.71,1,67150
T100623,549.06,1,67571
T102441,1,1,68207
T102442,1,1,68207
T102443,1,1,68207
T102444,1,1,68207
T102445,1,1,68207
T102446,1,1,68207
T102782,19.59,1,68357
T105178,1,1,69394
T106679,227.3,1,70071
T107067,318.11,1,70270
T107637,824.83,1,70536
T108258,0.76,1,70828
T108708,426.4,1,71033
T111690,238.9,1,72327
T116139,76.94,1,74159
T116404,311.28,1,74262
T118308,30.14,1,75033
T119781,124.53,1,75581
T120505,99.85,1,75851
T122479,219.8,1,76575
T123201,1,1,76845
T123238,1,1,76857
T124036,129,1,77154
T124087,1,1,77171
T124115,1,1,77182
T124176,1,1,77202
T128479,60,1,78725
T131272,0.2,1,79540
T135718,7.57,1,81372
T137705,1,1,82289
T141258,0,1,84204
T141259,512.25,1,84204
T142557,354.33,1,84789
T143188,2,1,85181
T143333,0,1,85285
T143335,252.92,1,85285
T143728,1,1,85573
T143731,240.77,1,85576
T144104,1,1,85864
T144108,310.42,1,85867
T144754,323.77,1,86376
T146790,829.41,1,87883
T149145,6.99,1,90676
T149357,38.76,1,91075
T149577,1,1,91502
T149600,261.22,1,91554
T149869,18,1,92092
T150601,1,1,93742
T150647,8.54,1,93824
T150654,0.01,1,93834
T150660,44.9,1,93853
T150661,44.9,1,93853
T150663,316.06,1,93853
T150666,78,1,93860
T150667,78,1,93860
T150668,188.52,1,93860
T150669,188.52,1,93860
T150677,30.31,1,93879
T150680,104.03,1,93879
T150687,1,1,93897
T150692,37.93,1,93904
T150697,97,1,93920
T151006,1,1,94362
T151008,1,1,94362
T151009,1,1,94362
T151011,1,1,94364
T151103,33.76,1,94625
T151462,1.63,1,95559
T151730,18.96,1,96135
T152019,1,1,96717
T152223,8.64,1,97121
T153823,2.28,1,100223
T154234,1,1,100924
T154286,0.92,1,101051
T154371,2.28,1,101313
T154454,147.87,1,101597
T154587,0,1,102114
T154633,22.04,1,102318
T154668,0,1,102480
T154670,104,1,102489
T154676,2.28,1,102542
T154693,1,1,102619
T154718,0,1,102669
T154960,2.27,1,103808
T156990,186.13,1,109298
T157585,1,1,110087
T157918,635.1,1,110617
T163586,65,1,116067
T167305,105.89,1,118603
T172787,144.62,1,121238
T176049,2125.87,1,122608
T178208,45.51,1,123525
T183106,0,1,125658
T184379,25,1,126219
T189587,67.9,1,128471
T189701,93.35,1,128519
T191074,720.8,1,129095
T191267,7.18,1,129186
T191359,4.87,1,129222
T191544,80.9,1,129308
T192382,2,1,129668
T192584,362.55,1,129764
T192687,276.17,1,129808
T198868,1,1,132688
T199896,1335,1,133184
T201098,0,1,133731
T203324,1,1,134766
T203328,925.31,1,134769
T204064,345,1,135095
T204079,108.51,1,135102
T204503,84.28,1,135314
T212516,0.01,1,138894
T213116,8.3,1,139117
T214662,120.54,1,139767
T214775,0.69,1,139816
T215132,723.21,1,139951
T215984,592.9,1,140308
T218442,195.66,1,141320
T219025,4.49,1,141565
T219892,0.76,1,141925
T221041,2,1,142409
T222133,144.8,1,142840
T222419,0,1,142961
T223366,1,1,143354
T223618,1,1,143456
T226877,0,1,144839
T229712,1.18,1,146022
T229730,2.22,1,146026
T230076,0.77,1,146179
T230476,94.82,1,146344
T233258,996.27,1,147501
T234574,0,1,148028
T234632,1.59,1,148053
T234705,0,1,148074
T235634,0.76,1,148476
T235644,122.68,1,148479
T237107,0,1,149096
T237426,1,1,149236
T238222,1.1,1,149582
T238466,17.39,1,149676
T239499,50,1,150138
T239501,237.26,1,150139
T241254,9.29,1,150949
T241445,10.7,1,151029
T243547,57.73,1,151972
T243749,1,1,152058
T243848,1,1,152098
T244004,1,1,152165
T244333,1,1,152307
T245347,2.47,1,152710
T245556,357.95,1,152802
T247673,247.86,1,153653
T248296,0,1,153875
T248971,0.76,1,154181
T249167,1504.93,1,154278
T249239,1096.99,1,154309
T249607,35,1,154493
T249828,6.74,1,154599
T249963,0.77,1,154657
T250761,0.77,1,155054
T251891,7.06,1,155548
T251904,94.82,1,155554
T252124,0.77,1,155662
T252774,0.77,1,155965
T254344,187.11,1,156685
T254395,7.59,1,156710
T255403,4.97,1,157207
T255556,0.77,1,157284
T258403,296,1,158638
T261473,4.9,1,160034
T262826,0.77,1,160665
T263080,1,1,160791
T263274,0.77,1,160870
T263324,127.14,1,160895
T263877,0.38,1,161154
T272521,12.31,1,165132
T274382,0,1,165981
T274475,39.9,1,166028
T276071,19.95,1,166883
T276864,349.08,1,167338
T280143,0.76,1,169347
T280149,77.89,1,169351
