TXKEY,Class
T156904,0
T60285,0
T154525,0
T201899,0
T196641,0
T76699,0
T239135,0
T231538,0
T162717,0
T188817,0
T14069,0
T257141,0
T39513,0
T194293,0
T230624,0
T12559,0
T212202,0
T144622,0
T200560,0
T279254,0
T65267,0
T268406,0
T206204,0
T58796,0
T258516,0
T259488,0
T261065,0
T209461,0
T167679,0
T229200,0
T179501,0
T248995,0
T34527,0
T108756,0
T86586,0
T170208,0
T194227,0
T252989,0
T284388,0
T253347,0
T91685,0
T254326,0
T128823,0
T277402,0
T64752,0
T230125,0
T245739,0
T284193,0
T114619,0
T284191,0
T91246,0
T208010,0
T219866,0
T214231,0
T172644,0
T190555,0
T274048,0
T271689,0
T154837,0
T32441,0
T239452,0
T172098,0
T191007,0
T258847,0
T213218,0
T251183,0
T279009,0
T221705,0
T217483,0
T214263,0
T9583,0
T3178,0
T230981,0
T127083,0
T283343,0
T13450,0
T150424,0
T75330,0
T181136,0
T253768,0
T173991,0
T29224,0
T214611,0
T261281,0
T201687,0
T56591,0
T278103,0
T119077,0
T185245,0
T173468,0
T216835,0
T158650,0
T209120,0
T63409,0
T170145,0
T5207,0
T211588,0
T227336,0
T276355,0
T241638,0
T201910,0
T283891,0
T149711,0
T275568,0
T143359,0
T238764,0
T227237,0
T235605,0
T140178,0
T283255,0
T137700,0
T184561,0
T209294,0
T22879,0
T248413,0
T278055,0
T225786,0
T147247,0
T161554,0
T115812,0
T257124,0
T201513,0
T247181,0
T78751,0
T103798,0
T207979,0
T143552,0
T223554,0
T213578,0
T213286,0
T200213,0
T236304,0
T210979,0
T182630,0
T86287,0
T203754,0
T243432,0
T17671,0
T99260,0
T243164,0
T151503,0
T95662,0
T276179,0
T117886,0
T95287,0
T199618,0
T245117,0
T281132,0
T190270,0
T222869,0
T171548,0
T188466,0
T204530,0
T284181,0
T265522,0
T242620,0
T238161,0
T132326,0
T239026,0
T38381,0
T171613,0
T166853,0
T154831,0
T26228,0
T220671,0
T94776,0
T264745,0
T284544,0
T234631,0
T234265,0
T40312,0
T139600,0
T179755,0
T272094,0
T260078,0
T65873,0
T28604,0
T190603,0
T160400,0
T253080,0
T253564,0
T164310,0
T187093,0
T61453,0
T198691,0
T183230,0
T249001,0
T247470,0
T283951,0
T42668,0
T206572,0
T274079,0
T239139,0
T270803,0
T125162,0
T22500,0
T189564,0
T213614,0
T44778,0
T190359,0
T143012,0
T197385,0
T241566,0
T182452,0
T229663,0
T153639,0
T272815,0
T199923,0
T201336,0
T253279,0
T85409,0
T97925,0
T260482,0
T120305,0
T201458,0
T66446,0
T170097,0
T201000,0
T102958,0
T82392,0
T117786,0
T46051,0
T33292,0
T96428,0
T101181,0
T58596,0
T281138,0
T262761,0
T103424,0
T202586,0
T284432,0
T282972,0
T181550,0
T162570,0
T192285,0
T283342,0
T220063,0
T191781,0
T235654,0
T269351,0
T83748,0
T262729,0
T271959,0
T145103,0
T230519,0
T190735,0
T213127,0
T211501,0
T174541,0
T254748,0
T232427,0
T212127,0
T202770,0
T45908,0
T284669,0
T150943,0
T202114,0
T217170,0
T242161,0
T211008,0
T199176,0
T205828,0
T122467,0
T195419,0
T188175,0
T253478,0
T13301,0
T243879,0
T184044,0
T44186,0
T235368,0
T183040,0
T277148,0
T206917,0
T195707,0
T182402,0
T214918,0
T248966,0
T202069,0
T266338,0
T265079,0
T95959,0
T163410,0
T226523,0
T283899,0
T184706,0
T274836,0
T281497,0
T197634,0
T236512,0
T163529,0
T282630,0
T217955,0
T190129,0
T199595,0
T266109,0
T165278,0
T255919,0
T214235,0
T58097,0
T195413,0
T203054,0
T204696,0
T246146,0
T278698,0
T151101,0
T204118,0
T94705,0
T166306,0
T221699,0
T184373,0
T89142,0
T128979,0
T217349,0
T226363,0
T8495,0
T208083,0
T271379,0
T8993,0
T283100,0
T276738,0
T45160,0
T239997,0
T238269,0
T83067,0
T161694,0
T212640,0
T275316,0
T281886,0
T73025,0
T173292,0
T15958,0
T209816,0
T203307,0
T209157,0
T244256,0
T210536,0
T272688,0
T129175,0
T222349,0
T149576,0
T190541,0
T169264,0
T229735,0
T235637,0
T219120,0
T191962,0
T173401,0
T5909,0
T242255,0
T244305,0
T269200,0
T145522,0
T187709,0
T175380,0
T169069,0
T106153,0
T72158,0
T158775,0
T196548,0
T233883,0
T244005,0
T164828,0
T100572,0
T178183,0
T209262,0
T218006,0
T158701,0
T88617,0
T189913,0
T213872,0
T256937,0
T224464,0
T218260,0
T275001,0
T203260,0
T199938,0
T283928,0
T246161,0
T197459,0
T273365,0
T210212,0
T153570,0
T242275,0
T247220,0
T272731,0
T125129,0
T208131,0
T236023,0
T238495,0
T268104,0
T198876,0
T274731,0
T246846,0
T246820,0
T237805,0
T184614,0
T204155,0
T161294,0
T260566,0
T231362,0
T276323,0
T264163,0
T256027,0
T250152,0
T149389,0
T250756,0
T262618,0
T7103,0
T252356,0
T186762,0
T266648,0
T267590,0
T279555,0
T112721,0
T226070,0
T253201,0
T264423,0
T168702,0
T217749,0
T259237,0
T181422,0
T222999,0
T243113,0
T28400,0
T220908,0
T150195,0
T253324,0
T253811,0
T238662,0
T194717,0
T257445,0
T250539,0
T252147,0
T220266,0
T241921,0
T172150,0
T204825,0
T242622,0
T216406,0
T161668,0
T270882,0
T235561,0
T165200,0
T61663,0
T258241,0
T188279,0
T276923,0
T186778,0
T225551,0
T220659,0
T165066,0
T16535,0
T166056,0
T109047,0
T85398,0
T210336,0
T14407,0
T259555,0
T169745,0
T251643,0
T192032,0
T173742,0
T254103,0
T164123,0
T235592,0
T262472,0
T197937,0
T206952,0
T223024,0
T109162,0
T151932,0
T93100,0
T184406,0
T211401,0
T183716,0
T212522,0
T151124,0
T277614,0
T246657,0
T265888,0
T251054,0
T215757,0
T273889,0
T223753,0
T261456,0
T245255,0
T174923,0
T145102,0
T265850,0
T248691,0
T192127,0
T180192,0
T239779,0
T275018,0
T184783,0
T210435,0
T228162,0
T6522,0
T168427,0
T266611,0
T182645,0
T15419,0
T173480,0
T210728,0
T170337,0
T228010,0
T206866,0
T247860,0
T101268,0
T270462,0
T270765,0
T200357,0
T231809,0
T254728,0
T112630,0
T190347,0
T24408,0
T250463,0
T283856,0
T184892,0
T210467,0
T139373,0
T250989,0
T186707,0
T62424,0
T235970,0
T218250,0
T185047,0
T193611,0
T171582,0
T185023,0
T238577,0
T245005,0
T197276,0
T151996,0
T192057,0
T145086,0
T181795,0
T200014,0
T184265,0
T158963,0
T187750,0
T266376,0
T273724,0
T258811,0
T265932,0
T162707,0
T219317,0
T278629,0
T278357,0
T39181,0
T22836,0
T151926,0
T246471,0
T186650,0
T208402,0
T170271,0
T173734,0
T264851,0
T242220,0
T22150,0
T245730,0
T176472,0
T147605,0
T211960,0
T233931,0
T267572,0
T219742,0
T134924,0
T127231,0
T240099,0
T199172,0
T138294,0
T227810,0
T227070,0
T210395,0
T198537,0
T193554,0
T234051,0
T280857,0
T122920,0
T229465,0
T172131,0
T206691,0
T206608,0
T129188,0
T188811,0
T239315,0
T257481,0
T236142,0
T148510,0
T213623,0
T239097,0
T246584,0
T218544,0
T267151,0
T220071,0
T254205,0
T148610,0
T273008,0
T50151,0
T249484,0
T279303,0
T277514,0
T152008,0
T222191,0
T16281,0
T34630,0
T138426,0
T237441,0
T254269,0
T132280,0
T173864,0
T250929,0
T188265,0
T267727,0
T123901,0
T149141,0
T144823,0
T271536,0
T181062,0
T106927,0
T188873,0
T149957,0
T219634,0
T219750,0
T246750,0
T227770,0
T282603,0
T242222,0
T200690,0
T272631,0
T251874,0
T150858,0
T252362,0
T209815,0
T158641,0
T246480,0
T223820,0
T160805,0
T212209,0
T206900,0
T191112,0
T43787,0
T165078,0
T145800,0
T239749,0
T250291,0
T254223,0
T232054,0
T231136,0
T284009,0
T247921,0
T51454,0
T269870,0
T70014,0
T51036,0
T241262,0
T239739,0
T174192,0
T152015,0
T185847,0
T277742,0
T163413,0
T239331,0
T39232,0
T209948,0
T259973,0
T179275,0
T228630,0
T220356,0
T279306,0
T193318,0
T153466,0
T93356,0
T174862,0
T281893,0
T220412,0
T161064,0
T16778,0
T282695,0
T245317,0
T216096,0
T88478,0
T147966,0
T71772,0
T159836,0
T237889,0
T191822,0
T262129,0
T117421,0
T233761,0
T225320,0
T70555,0
T264773,0
T172674,0
T192375,0
T244098,0
T273013,0
T200731,0
T219789,0
T258065,0
T245456,0
T134655,0
T271435,0
T199469,0
T205070,0
T245736,0
T259213,0
T272755,0
T172083,0
T214466,0
T143670,0
T249414,0
T193130,0
T242625,0
T240575,0
T129936,0
T198410,0
T179971,0
T116209,0
T244031,0
T263917,0
T212401,0
T237285,0
T280885,0
T236700,0
T60526,0
T158879,0
T203561,0
T253248,0
T230611,0
T224491,0
T284108,0
T283690,0
T243334,0
T244110,0
T237050,0
T284620,0
T166314,0
T173672,0
T144977,0
T236572,0
T253068,0
T207232,0
T269542,0
T219306,0
T272682,0
T175095,0
T127562,0
T275594,0
T179951,0
T148576,0
T164517,0
T17907,0
T279060,0
T205395,0
T225180,0
T281590,0
T195446,0
T257519,0
T178787,0
T234243,0
T274105,0
T208721,0
T103270,0
T217298,0
T68320,0
T213421,0
T242311,0
T213736,0
T194340,0
T168727,0
T245163,0
T171643,0
T262724,0
T275179,0
T225587,0
T272830,0
T275139,0
T189218,0
T163543,0
T279541,0
T144820,0
T176220,0
T197756,0
T179444,0
T129495,0
T239060,0
T232902,0
T213766,0
T46213,0
T189016,0
T197586,0
T136746,0
T194501,0
T24821,0
T238006,0
T128352,0
T152225,0
T40754,0
T243022,0
T119254,0
T174290,0
T112314,0
T12553,0
T152206,0
T166502,0
T176323,0
T220788,0
T54994,0
T281803,0
T283035,0
T180418,0
T231977,0
T38284,0
T253116,0
T193715,0
T209348,0
T206217,0
T78349,0
T212201,0
T266441,0
T189822,0
T178263,0
T250038,0
T169477,0
T245380,0
T196597,0
T278192,0
T201832,0
T90854,0
T99679,0
T283804,0
T206615,0
T279850,0
T203994,0
T27377,0
T87761,0
T104730,0
T254802,0
T238084,0
T268350,0
T242260,0
T17191,0
T270710,0
T187387,0
T165296,0
T103423,0
T274746,0
T260461,0
T211147,0
T259865,0
T235946,0
T106017,0
T248066,0
T5257,0
T165567,0
T186474,0
T283913,0
T240745,0
T236748,0
T255807,0
T219631,0
T168744,0
T55814,0
T149430,0
T109490,0
T235892,0
T221219,0
T105498,0
T136293,0
T260805,0
T26442,0
T259651,0
T229789,0
T224552,0
T274089,0
T259581,0
T240056,0
T201659,0
T39876,0
T240699,0
T249797,0
T268127,0
T122140,0
T207343,0
T269915,0
T145038,0
T79035,0
T280649,0
T253784,0
T182463,0
T230854,0
T207152,0
T205783,0
T226649,0
T113538,0
T107017,0
T123778,0
T173098,0
T188151,0
T211213,0
T222492,0
T204140,0
T180829,0
T257525,0
T224942,0
T216994,0
T265455,0
T47404,0
T39820,0
T235696,0
T251538,0
T196845,0
T199785,0
T267825,0
T198175,0
T222933,0
T218950,0
T62822,0
T161987,0
T256820,0
T222079,0
T218610,0
T201388,0
T54704,0
T252622,0
T277246,0
T211317,0
T157104,0
T28365,0
T176509,0
T53028,0
T168297,0
T105396,0
T162572,0
T228853,0
T132881,0
T201805,0
T195716,0
T243158,0
T166287,0
T266737,0
T257737,0
T226099,0
T235506,0
T245701,0
T149085,0
T39772,0
T103211,0
T284630,0
T268549,0
T227197,0
T43655,0
T224478,0
T255102,0
T168704,0
T205409,0
T243298,0
T179577,0
T255087,0
T124292,0
T46589,0
T24723,0
T176379,0
T261423,0
T50165,0
T110123,0
T86472,0
T257136,0
T147675,0
T229886,0
T235113,0
T192259,0
T217307,0
T277367,0
T277039,0
T202814,0
T189806,0
T152073,0
T177200,0
T172217,0
T76673,0
T177185,0
T212395,0
T78769,0
T198589,0
T200088,0
T236373,0
T144365,0
T234359,0
T239578,0
T233857,0
T272579,0
T94538,0
T193320,0
T82554,0
T116066,0
T238860,0
T214362,0
T145964,0
T208154,0
T277446,0
T170116,0
T262018,0
T216663,0
T180664,0
T266796,0
T81317,0
T106898,0
T206579,0
T156008,0
T207031,0
T137092,0
T78277,0
T253235,0
T274839,0
T274864,0
T80831,0
T263299,0
T272070,0
T62461,0
T253895,0
T165480,0
T29998,0
T32235,0
T258205,0
T248422,0
T181774,0
T224494,0
T166406,0
T211594,0
T59677,0
T72933,0
T169147,0
T226952,0
T22335,0
T212196,0
T217087,0
T275152,0
T69177,0
T187544,0
T258382,0
T169070,0
T131961,0
T44125,0
T184885,0
T150297,0
T102294,0
T106946,0
T176559,0
T143849,0
T106260,0
T183163,0
T20751,0
T173977,0
T121502,0
T215543,0
T233117,0
T58332,0
T257452,0
T35455,0
T161977,0
T273672,0
T236431,0
T121136,0
T275170,0
T156806,0
T30832,0
T75984,0
T129526,0
T42639,0
T39726,0
T149632,0
T19583,0
T224028,0
T50578,0
T204656,0
T236286,0
T156228,0
T56318,0
T121106,0
T230882,0
T205944,0
T243675,0
T210162,0
T130797,0
T259422,0
T257808,0
T161667,0
T165470,0
T235125,0
T118609,0
T94451,0
T180742,0
T279479,0
T183975,0
T150913,0
T232937,0
T59264,0
T71017,0
T194106,0
T228917,0
T259040,0
T106948,0
T103258,0
T247158,0
T157276,0
T276677,0
T279096,0
T243818,0
T184196,0
T100866,0
T240046,0
T200138,0
T86846,0
T206155,0
T48461,0
T120996,0
T159194,0
T263383,0
T263994,0
T50841,0
T210721,0
T13796,0
T250365,0
T201550,0
T175179,0
T54223,0
T264542,0
T207574,0
T264651,0
T208521,0
T273256,0
T275125,0
T236300,0
T231715,0
T208312,0
T223056,0
T169113,0
T123800,0
T208530,0
T211425,0
T110858,0
T242257,0
T277109,0
T249033,0
T73406,0
T234755,0
T237616,0
T249596,0
T82419,0
T140018,0
T239620,0
T3602,0
T275617,0
T246434,0
T264220,0
T25372,0
T214574,0
T250279,0
T7560,0
T281662,0
T199673,0
T122817,0
T262237,0
T148186,0
T234788,0
T97389,0
T197096,0
T258488,0
T220408,0
T213535,0
T189814,0
T50460,0
T235985,0
T281410,0
T63770,0
T42373,0
T68098,0
T55159,0
T145602,0
T31293,0
T276810,0
T273358,0
T235530,0
T269696,0
T94984,0
T233847,0
T66307,0
T280839,0
T192017,0
T223031,0
T187027,0
T201291,0
T277372,0
T281078,0
T245310,0
T197543,0
T258549,0
T18695,0
T185635,0
T227961,0
T217238,0
T215107,0
T61011,0
T264026,0
T222036,0
T170672,0
T93022,0
T98558,0
T165631,0
T120708,0
T223803,0
T224047,0
T52091,0
T246693,0
T162112,0
T246992,0
T281356,0
T187284,0
T205978,0
T210294,0
T280302,0
T164260,0
T236042,0
T120839,0
T271629,0
T166429,0
T139541,0
T127507,0
T183708,0
T177265,0
T204398,0
T133646,0
T213519,0
T78554,0
T193385,0
T62787,0
T80165,0
T244127,0
T182960,0
T240261,0
T41930,0
T66326,0
T21292,0
T105897,0
T196954,0
T183429,0
T17004,0
T69387,0
T169268,0
T243239,0
T251740,0
T172645,0
T167107,0
T236109,0
T99920,0
T146948,0
T203096,0
T34704,0
T187135,0
T249104,0
T239376,0
T219399,0
T283978,0
T164956,0
T28708,0
T65108,0
T274735,0
T3338,0
T114405,0
T282652,0
T129948,0
T68493,0
T177277,0
T104477,0
T51186,0
T38448,0
T207956,0
T108620,0
T207581,0
T52754,0
T204507,0
T158981,0
T173008,0
T265702,0
T254386,0
T51791,0
T112223,0
T216461,0
T31401,0
T268042,0
T154682,0
T70691,0
T170623,0
T102905,0
T278095,0
T87007,0
T255539,0
T121403,0
T271926,0
T144276,0
T265738,0
T75500,0
T174851,0
T60309,0
T44758,0
T186455,0
T279909,0
T169286,0
T197156,0
T95725,0
T226940,0
T257976,0
T48886,0
T226688,0
T282828,0
T226220,0
T80709,0
T56170,0
T232236,0
T232200,0
T265489,0
T15708,0
T210039,0
T279080,0
T272738,0
T279455,0
T196684,0
T278713,0
T32737,0
T253590,0
T95330,0
T168259,0
T96587,0
T9379,0
T179403,0
T226838,0
T268221,0
T213447,0
T72423,0
T259463,0
T261871,0
T281156,0
T19944,0
T182982,0
T239225,0
T200390,0
T68745,0
T262678,0
T118425,0
T267724,0
T133737,0
T171901,0
T214089,0
T38514,0
T14337,0
T250605,0
T117229,0
T279830,0
T173816,0
T260290,0
T251309,0
T284319,0
T64286,0
T84355,0
T188980,0
T167769,0
T139605,0
T56764,0
T258292,0
T262676,0
T31130,0
T16583,0
T38069,0
T137324,0
T223289,0
T267193,0
T83847,0
T256010,0
T186616,0
T223802,0
T221507,0
T106581,0
T227024,0
T231932,0
T15317,0
T78391,0
T242318,0
T18043,0
T224006,0
T195081,0
T224358,0
T38086,0
T111446,0
T271612,0
T51736,0
T40391,0
T248618,0
T255333,0
T241474,0
T224059,0
T282877,0
T243902,0
T257147,0
T37158,0
T256872,0
T177130,0
T77366,0
T179741,0
T209237,0
T103077,0
T25787,0
T236234,0
T234066,0
T229404,0
T204261,0
T188206,0
T31041,0
T123198,0
T16060,0
T124288,0
T208435,0
T250858,0
T7415,0
T231978,0
